model,cycles
UF_16-l1i_2kB-l1d_2kB-l2_256kB,64552420
UF_16-l1i_2kB-l1d_2kB-l2_512kB,64541170
UF_16-l1i_2kB-l1d_2kB-l2_1024kB,64599159
UF_16-l1i_2kB-l1d_4kB-l2_128kB,64468500
UF_16-l1i_2kB-l1d_4kB-l2_256kB,64446191
UF_16-l1i_2kB-l1d_4kB-l2_512kB,64429239
UF_16-l1i_2kB-l1d_4kB-l2_1024kB,64467462
UF_16-l1i_2kB-l1d_8kB-l2_128kB,64368857
UF_16-l1i_2kB-l1d_8kB-l2_256kB,64360555
UF_16-l1i_2kB-l1d_8kB-l2_512kB,64338151
UF_16-l1i_2kB-l1d_8kB-l2_1024kB,64395969
UF_16-l1i_2kB-l1d_16kB-l2_128kB,47481295
UF_16-l1i_2kB-l1d_16kB-l2_256kB,47520061
UF_16-l1i_2kB-l1d_16kB-l2_512kB,47504489
UF_16-l1i_2kB-l1d_16kB-l2_1024kB,47504498
UF_16-l1i_2kB-l1d_32kB-l2_128kB,47185424
UF_16-l1i_2kB-l1d_32kB-l2_256kB,47156272
UF_16-l1i_2kB-l1d_32kB-l2_512kB,47149174
UF_16-l1i_2kB-l1d_32kB-l2_1024kB,47150520
UF_16-l1i_2kB-l1d_64kB-l2_128kB,47326041
UF_16-l1i_2kB-l1d_64kB-l2_256kB,47167533
UF_16-l1i_2kB-l1d_64kB-l2_512kB,47139914
UF_16-l1i_2kB-l1d_64kB-l2_1024kB,47146685
UF_16-l1i_4kB-l1d_2kB-l2_128kB,59597064
UF_16-l1i_4kB-l1d_2kB-l2_256kB,59567204
UF_16-l1i_4kB-l1d_2kB-l2_512kB,59573365
UF_16-l1i_4kB-l1d_2kB-l2_1024kB,59593032
UF_16-l1i_4kB-l1d_4kB-l2_128kB,59480977
UF_16-l1i_4kB-l1d_4kB-l2_256kB,59462812
UF_16-l1i_4kB-l1d_4kB-l2_512kB,59448097
UF_16-l1i_4kB-l1d_4kB-l2_1024kB,59462733
UF_16-l1i_4kB-l1d_8kB-l2_128kB,59386942
UF_16-l1i_4kB-l1d_8kB-l2_256kB,59374932
UF_16-l1i_4kB-l1d_8kB-l2_512kB,59356334
UF_16-l1i_4kB-l1d_8kB-l2_1024kB,59382391
UF_16-l1i_4kB-l1d_16kB-l2_128kB,42416295
UF_16-l1i_4kB-l1d_16kB-l2_256kB,42469272
UF_16-l1i_4kB-l1d_16kB-l2_512kB,42405765
UF_16-l1i_4kB-l1d_16kB-l2_1024kB,42465836
UF_16-l1i_4kB-l1d_32kB-l2_128kB,42171250
UF_16-l1i_4kB-l1d_32kB-l2_256kB,42133522
UF_16-l1i_4kB-l1d_32kB-l2_512kB,42119539
UF_16-l1i_4kB-l1d_32kB-l2_1024kB,42142268
UF_16-l1i_4kB-l1d_64kB-l2_128kB,42308048
UF_16-l1i_4kB-l1d_64kB-l2_256kB,42135111
UF_16-l1i_4kB-l1d_64kB-l2_512kB,42136046
UF_16-l1i_4kB-l1d_64kB-l2_1024kB,42149267
UF_16-l1i_8kB-l1d_2kB-l2_128kB,59588539
UF_16-l1i_8kB-l1d_2kB-l2_256kB,59562869
UF_16-l1i_8kB-l1d_2kB-l2_512kB,59559079
UF_16-l1i_8kB-l1d_2kB-l2_1024kB,59585962
UF_16-l1i_8kB-l1d_4kB-l2_128kB,59476637
UF_16-l1i_8kB-l1d_4kB-l2_256kB,59455275
UF_16-l1i_8kB-l1d_4kB-l2_512kB,59444800
UF_16-l1i_8kB-l1d_4kB-l2_1024kB,59455270
UF_16-l1i_8kB-l1d_8kB-l2_128kB,59375817
UF_16-l1i_8kB-l1d_8kB-l2_256kB,59361792
UF_16-l1i_8kB-l1d_8kB-l2_512kB,59357828
UF_16-l1i_8kB-l1d_8kB-l2_1024kB,59381245
UF_16-l1i_8kB-l1d_16kB-l2_128kB,42483737
UF_16-l1i_8kB-l1d_16kB-l2_256kB,42468859
UF_16-l1i_8kB-l1d_16kB-l2_512kB,42452179
UF_16-l1i_8kB-l1d_16kB-l2_1024kB,42473386
UF_16-l1i_8kB-l1d_32kB-l2_128kB,42158758
UF_16-l1i_8kB-l1d_32kB-l2_256kB,42141601
UF_16-l1i_8kB-l1d_32kB-l2_512kB,42118548
UF_16-l1i_8kB-l1d_32kB-l2_1024kB,42148324
UF_16-l1i_8kB-l1d_64kB-l2_128kB,42303175
UF_16-l1i_8kB-l1d_64kB-l2_256kB,42147452
UF_16-l1i_8kB-l1d_64kB-l2_512kB,42128606
UF_16-l1i_8kB-l1d_64kB-l2_1024kB,42131976
UF_16-l1i_16kB-l1d_2kB-l2_128kB,59558686
UF_16-l1i_16kB-l1d_2kB-l2_256kB,59547253
UF_16-l1i_16kB-l1d_2kB-l2_512kB,59538591
UF_16-l1i_16kB-l1d_2kB-l2_1024kB,59574214
UF_16-l1i_16kB-l1d_4kB-l2_128kB,59460046
UF_16-l1i_16kB-l1d_4kB-l2_256kB,59444186
UF_16-l1i_16kB-l1d_4kB-l2_512kB,59428004
UF_16-l1i_16kB-l1d_4kB-l2_1024kB,59439006
UF_16-l1i_16kB-l1d_8kB-l2_128kB,59366398
UF_16-l1i_16kB-l1d_8kB-l2_256kB,59350857
UF_16-l1i_16kB-l1d_8kB-l2_512kB,59336468
UF_16-l1i_16kB-l1d_8kB-l2_1024kB,59368882
UF_16-l1i_16kB-l1d_16kB-l2_128kB,42451900
UF_16-l1i_16kB-l1d_16kB-l2_256kB,42453406
UF_16-l1i_16kB-l1d_16kB-l2_512kB,42442253
UF_16-l1i_16kB-l1d_16kB-l2_1024kB,42424240
UF_16-l1i_16kB-l1d_32kB-l2_128kB,42144194
UF_16-l1i_16kB-l1d_32kB-l2_256kB,42126354
UF_16-l1i_16kB-l1d_32kB-l2_512kB,42099638
UF_16-l1i_16kB-l1d_32kB-l2_1024kB,42122923
UF_16-l1i_16kB-l1d_64kB-l2_128kB,42287128
UF_16-l1i_16kB-l1d_64kB-l2_256kB,42107131
UF_16-l1i_16kB-l1d_64kB-l2_512kB,42095238
UF_16-l1i_16kB-l1d_64kB-l2_1024kB,42120772
UF_16-l1i_32kB-l1d_2kB-l2_128kB,59562227
UF_16-l1i_32kB-l1d_2kB-l2_256kB,59564508
UF_16-l1i_32kB-l1d_2kB-l2_512kB,59542739
UF_16-l1i_32kB-l1d_2kB-l2_1024kB,59568601
UF_16-l1i_32kB-l1d_4kB-l2_128kB,59448761
UF_16-l1i_32kB-l1d_4kB-l2_256kB,59440600
UF_16-l1i_32kB-l1d_4kB-l2_512kB,59420102
UF_16-l1i_32kB-l1d_4kB-l2_1024kB,59430353
UF_16-l1i_32kB-l1d_8kB-l2_128kB,59364446
UF_16-l1i_32kB-l1d_8kB-l2_256kB,59343666
UF_16-l1i_32kB-l1d_8kB-l2_512kB,59337603
UF_16-l1i_32kB-l1d_8kB-l2_1024kB,59357103
UF_16-l1i_32kB-l1d_16kB-l2_128kB,42444805
UF_16-l1i_32kB-l1d_16kB-l2_256kB,42449536
UF_16-l1i_32kB-l1d_16kB-l2_512kB,42371415
UF_16-l1i_32kB-l1d_16kB-l2_1024kB,42459341
UF_16-l1i_32kB-l1d_32kB-l2_128kB,42143180
UF_16-l1i_32kB-l1d_32kB-l2_256kB,42121885
UF_16-l1i_32kB-l1d_32kB-l2_512kB,42094011
UF_16-l1i_32kB-l1d_32kB-l2_1024kB,42127902
UF_16-l1i_32kB-l1d_64kB-l2_128kB,42281294
UF_16-l1i_32kB-l1d_64kB-l2_256kB,42106230
UF_16-l1i_32kB-l1d_64kB-l2_512kB,42099589
UF_16-l1i_32kB-l1d_64kB-l2_1024kB,42121617
UF_16-l1i_64kB-l1d_2kB-l2_128kB,59565406
UF_16-l1i_64kB-l1d_2kB-l2_256kB,59542878
UF_16-l1i_64kB-l1d_2kB-l2_512kB,59540024
UF_16-l1i_64kB-l1d_2kB-l2_1024kB,59567089
UF_16-l1i_64kB-l1d_4kB-l2_128kB,59447820
UF_16-l1i_64kB-l1d_4kB-l2_256kB,59439791
UF_16-l1i_64kB-l1d_4kB-l2_512kB,59420361
UF_16-l1i_64kB-l1d_4kB-l2_1024kB,59429644
UF_16-l1i_64kB-l1d_8kB-l2_128kB,59360252
UF_16-l1i_64kB-l1d_8kB-l2_256kB,59342056
UF_16-l1i_64kB-l1d_8kB-l2_512kB,59339868
UF_16-l1i_64kB-l1d_8kB-l2_1024kB,59361763
UF_16-l1i_64kB-l1d_16kB-l2_128kB,42391305
UF_16-l1i_64kB-l1d_16kB-l2_256kB,42507348
UF_16-l1i_64kB-l1d_16kB-l2_512kB,42440647
UF_16-l1i_64kB-l1d_16kB-l2_1024kB,42458999
UF_16-l1i_64kB-l1d_32kB-l2_128kB,42125956
UF_16-l1i_64kB-l1d_32kB-l2_256kB,42122559
UF_16-l1i_64kB-l1d_32kB-l2_512kB,42093387
UF_16-l1i_64kB-l1d_32kB-l2_1024kB,42119372
UF_16-l1i_64kB-l1d_64kB-l2_128kB,42278707
UF_16-l1i_64kB-l1d_64kB-l2_256kB,42105567
UF_16-l1i_64kB-l1d_64kB-l2_512kB,42096757
UF_16-l1i_64kB-l1d_64kB-l2_1024kB,42109393
UF_32-l1i_2kB-l1d_2kB-l2_128kB,65904730
UF_32-l1i_2kB-l1d_2kB-l2_256kB,65892136
UF_32-l1i_2kB-l1d_2kB-l2_512kB,65889579
UF_32-l1i_2kB-l1d_2kB-l2_1024kB,65890196
UF_32-l1i_2kB-l1d_4kB-l2_128kB,65765201
UF_32-l1i_2kB-l1d_4kB-l2_256kB,65754323
UF_32-l1i_2kB-l1d_4kB-l2_512kB,65756750
UF_32-l1i_2kB-l1d_4kB-l2_1024kB,65758929
UF_32-l1i_2kB-l1d_8kB-l2_128kB,65717151
UF_32-l1i_2kB-l1d_8kB-l2_256kB,65714447
UF_32-l1i_2kB-l1d_8kB-l2_512kB,65707408
UF_32-l1i_2kB-l1d_8kB-l2_1024kB,65732001
UF_32-l1i_2kB-l1d_16kB-l2_128kB,48851661
UF_32-l1i_2kB-l1d_16kB-l2_256kB,48879720
UF_32-l1i_2kB-l1d_16kB-l2_512kB,48865094
UF_32-l1i_2kB-l1d_16kB-l2_1024kB,48850774
UF_32-l1i_2kB-l1d_32kB-l2_128kB,48465180
UF_32-l1i_2kB-l1d_32kB-l2_256kB,48464854
UF_32-l1i_2kB-l1d_32kB-l2_512kB,48458665
UF_32-l1i_2kB-l1d_32kB-l2_1024kB,48472259
UF_32-l1i_2kB-l1d_64kB-l2_128kB,48692525
UF_32-l1i_2kB-l1d_64kB-l2_256kB,48454562
UF_32-l1i_2kB-l1d_64kB-l2_512kB,48450561
UF_32-l1i_2kB-l1d_64kB-l2_1024kB,48458296
UF_32-l1i_4kB-l1d_2kB-l2_128kB,64134366
UF_32-l1i_4kB-l1d_2kB-l2_256kB,64124595
UF_32-l1i_4kB-l1d_2kB-l2_512kB,64110191
UF_32-l1i_4kB-l1d_2kB-l2_1024kB,64119530
UF_32-l1i_4kB-l1d_4kB-l2_128kB,63990962
UF_32-l1i_4kB-l1d_4kB-l2_256kB,63981926
UF_32-l1i_4kB-l1d_4kB-l2_512kB,63973169
UF_32-l1i_4kB-l1d_4kB-l2_1024kB,63998661
UF_32-l1i_4kB-l1d_8kB-l2_128kB,63965243
UF_32-l1i_4kB-l1d_8kB-l2_256kB,63942866
UF_32-l1i_4kB-l1d_8kB-l2_512kB,63944812
UF_32-l1i_4kB-l1d_8kB-l2_1024kB,63957457
UF_32-l1i_4kB-l1d_16kB-l2_128kB,47009399
UF_32-l1i_4kB-l1d_16kB-l2_256kB,46995709
UF_32-l1i_4kB-l1d_16kB-l2_512kB,46978187
UF_32-l1i_4kB-l1d_16kB-l2_1024kB,47005520
UF_32-l1i_4kB-l1d_32kB-l2_128kB,46612300
UF_32-l1i_4kB-l1d_32kB-l2_256kB,46616215
UF_32-l1i_4kB-l1d_32kB-l2_512kB,46612895
UF_32-l1i_4kB-l1d_32kB-l2_1024kB,46664713
UF_32-l1i_4kB-l1d_64kB-l2_128kB,46861585
UF_32-l1i_4kB-l1d_64kB-l2_256kB,46616856
UF_32-l1i_4kB-l1d_64kB-l2_512kB,46610022
UF_32-l1i_4kB-l1d_64kB-l2_1024kB,46649140
UF_32-l1i_8kB-l1d_2kB-l2_128kB,59427815
UF_32-l1i_8kB-l1d_2kB-l2_256kB,59411708
UF_32-l1i_8kB-l1d_2kB-l2_512kB,59393994
UF_32-l1i_8kB-l1d_2kB-l2_1024kB,59399675
UF_32-l1i_8kB-l1d_4kB-l2_128kB,59281553
UF_32-l1i_8kB-l1d_4kB-l2_256kB,59268230
UF_32-l1i_8kB-l1d_4kB-l2_512kB,59257825
UF_32-l1i_8kB-l1d_4kB-l2_1024kB,59275215
UF_32-l1i_8kB-l1d_8kB-l2_128kB,59242097
UF_32-l1i_8kB-l1d_8kB-l2_256kB,59230732
UF_32-l1i_8kB-l1d_8kB-l2_512kB,59221465
UF_32-l1i_8kB-l1d_8kB-l2_1024kB,59242097
UF_32-l1i_8kB-l1d_16kB-l2_128kB,42318997
UF_32-l1i_8kB-l1d_16kB-l2_256kB,42344277
UF_32-l1i_8kB-l1d_16kB-l2_512kB,42375082
UF_32-l1i_8kB-l1d_16kB-l2_1024kB,42338136
UF_32-l1i_8kB-l1d_32kB-l2_128kB,41938699
UF_32-l1i_8kB-l1d_32kB-l2_256kB,41912524
UF_32-l1i_8kB-l1d_32kB-l2_512kB,41911177
UF_32-l1i_8kB-l1d_32kB-l2_1024kB,41947110
UF_32-l1i_8kB-l1d_64kB-l2_128kB,42189863
UF_32-l1i_8kB-l1d_64kB-l2_256kB,41912299
UF_32-l1i_8kB-l1d_64kB-l2_512kB,41904502
UF_32-l1i_8kB-l1d_64kB-l2_1024kB,41938699
UF_32-l1i_16kB-l1d_2kB-l2_128kB,59412036
UF_32-l1i_16kB-l1d_2kB-l2_256kB,59398209
UF_32-l1i_16kB-l1d_2kB-l2_512kB,59380273
UF_32-l1i_16kB-l1d_2kB-l2_1024kB,59377993
UF_32-l1i_16kB-l1d_4kB-l2_128kB,59265970
UF_32-l1i_16kB-l1d_4kB-l2_256kB,59254407
UF_32-l1i_16kB-l1d_4kB-l2_512kB,59246305
UF_32-l1i_16kB-l1d_4kB-l2_1024kB,59266416
UF_32-l1i_16kB-l1d_8kB-l2_128kB,59226178
UF_32-l1i_16kB-l1d_8kB-l2_256kB,59217284
UF_32-l1i_16kB-l1d_8kB-l2_512kB,59208602
UF_32-l1i_16kB-l1d_8kB-l2_1024kB,59229132
UF_32-l1i_16kB-l1d_16kB-l2_128kB,42349991
UF_32-l1i_16kB-l1d_16kB-l2_256kB,42328490
UF_32-l1i_16kB-l1d_16kB-l2_512kB,42360994
UF_32-l1i_16kB-l1d_16kB-l2_1024kB,42322229
UF_32-l1i_16kB-l1d_32kB-l2_128kB,41910634
UF_32-l1i_16kB-l1d_32kB-l2_256kB,41900630
UF_32-l1i_16kB-l1d_32kB-l2_512kB,41891839
UF_32-l1i_16kB-l1d_32kB-l2_1024kB,41929862
UF_32-l1i_16kB-l1d_64kB-l2_128kB,42172511
UF_32-l1i_16kB-l1d_64kB-l2_256kB,41896554
UF_32-l1i_16kB-l1d_64kB-l2_512kB,41894840
UF_32-l1i_16kB-l1d_64kB-l2_1024kB,41920474
UF_32-l1i_32kB-l1d_2kB-l2_128kB,59411717
UF_32-l1i_32kB-l1d_2kB-l2_256kB,59396947
UF_32-l1i_32kB-l1d_2kB-l2_512kB,59379852
UF_32-l1i_32kB-l1d_2kB-l2_1024kB,59384189
UF_32-l1i_32kB-l1d_4kB-l2_128kB,59265659
UF_32-l1i_32kB-l1d_4kB-l2_256kB,59254091
UF_32-l1i_32kB-l1d_4kB-l2_512kB,59246055
UF_32-l1i_32kB-l1d_4kB-l2_1024kB,59267876
UF_32-l1i_32kB-l1d_8kB-l2_128kB,59210444
UF_32-l1i_32kB-l1d_8kB-l2_256kB,59214390
UF_32-l1i_32kB-l1d_8kB-l2_512kB,59207013
UF_32-l1i_32kB-l1d_8kB-l2_1024kB,59227205
UF_32-l1i_32kB-l1d_16kB-l2_128kB,42326784
UF_32-l1i_32kB-l1d_16kB-l2_256kB,42328365
UF_32-l1i_32kB-l1d_16kB-l2_512kB,42352826
UF_32-l1i_32kB-l1d_16kB-l2_1024kB,42283058
UF_32-l1i_32kB-l1d_32kB-l2_128kB,41906936
UF_32-l1i_32kB-l1d_32kB-l2_256kB,41894698
UF_32-l1i_32kB-l1d_32kB-l2_512kB,41895013
UF_32-l1i_32kB-l1d_32kB-l2_1024kB,41924519
UF_32-l1i_32kB-l1d_64kB-l2_128kB,42169033
UF_32-l1i_32kB-l1d_64kB-l2_256kB,41890054
UF_32-l1i_32kB-l1d_64kB-l2_512kB,41888334
UF_32-l1i_32kB-l1d_64kB-l2_1024kB,41919794
UF_32-l1i_64kB-l1d_2kB-l2_128kB,59406230
UF_32-l1i_64kB-l1d_2kB-l2_256kB,59394608
UF_32-l1i_64kB-l1d_2kB-l2_512kB,59378521
UF_32-l1i_64kB-l1d_2kB-l2_1024kB,59378695
UF_32-l1i_64kB-l1d_4kB-l2_128kB,59263887
UF_32-l1i_64kB-l1d_4kB-l2_256kB,59251947
UF_32-l1i_64kB-l1d_4kB-l2_512kB,59242851
UF_32-l1i_64kB-l1d_4kB-l2_1024kB,59262487
UF_32-l1i_64kB-l1d_8kB-l2_128kB,59210118
UF_32-l1i_64kB-l1d_8kB-l2_256kB,59212968
UF_32-l1i_64kB-l1d_8kB-l2_512kB,59202669
UF_32-l1i_64kB-l1d_8kB-l2_1024kB,59228621
UF_32-l1i_64kB-l1d_16kB-l2_128kB,42312199
UF_32-l1i_64kB-l1d_16kB-l2_256kB,42281518
UF_32-l1i_64kB-l1d_16kB-l2_512kB,42313831
UF_32-l1i_64kB-l1d_16kB-l2_1024kB,42314075
UF_32-l1i_64kB-l1d_32kB-l2_128kB,41904073
UF_32-l1i_64kB-l1d_32kB-l2_256kB,41895646
UF_32-l1i_64kB-l1d_32kB-l2_512kB,41891364
UF_32-l1i_64kB-l1d_32kB-l2_1024kB,41922509
UF_32-l1i_64kB-l1d_64kB-l2_128kB,42169033
UF_32-l1i_64kB-l1d_64kB-l2_256kB,41895817
UF_32-l1i_64kB-l1d_64kB-l2_512kB,41888203
UF_32-l1i_64kB-l1d_64kB-l2_1024kB,41916680
