model,cycles
UF_2-l1i_32kB-l1d_2kB-l2_1024kB,59976901
UF_2-l1i_32kB-l1d_4kB-l2_128kB,59893913
UF_2-l1i_32kB-l1d_4kB-l2_256kB,59880598
UF_2-l1i_32kB-l1d_4kB-l2_512kB,59847859
UF_2-l1i_32kB-l1d_4kB-l2_1024kB,59832981
UF_2-l1i_32kB-l1d_8kB-l2_128kB,59808821
UF_2-l1i_32kB-l1d_8kB-l2_256kB,59783350
UF_2-l1i_32kB-l1d_8kB-l2_512kB,59764475
UF_2-l1i_32kB-l1d_8kB-l2_1024kB,59767766
UF_2-l1i_32kB-l1d_16kB-l2_128kB,42896866
UF_2-l1i_32kB-l1d_16kB-l2_256kB,42832652
UF_2-l1i_32kB-l1d_16kB-l2_512kB,42819003
UF_2-l1i_32kB-l1d_16kB-l2_1024kB,42877483
UF_2-l1i_32kB-l1d_32kB-l2_128kB,42538131
UF_2-l1i_32kB-l1d_32kB-l2_256kB,42518292
UF_2-l1i_32kB-l1d_32kB-l2_512kB,42497321
UF_2-l1i_32kB-l1d_32kB-l2_1024kB,42516067
UF_2-l1i_32kB-l1d_64kB-l2_128kB,42706265
UF_2-l1i_32kB-l1d_64kB-l2_256kB,42514139
UF_2-l1i_32kB-l1d_64kB-l2_512kB,42491729
UF_2-l1i_32kB-l1d_64kB-l2_1024kB,42513503
UF_2-l1i_64kB-l1d_2kB-l2_128kB,60005062
UF_2-l1i_64kB-l1d_2kB-l2_256kB,59984024
UF_2-l1i_64kB-l1d_2kB-l2_512kB,59966772
UF_2-l1i_64kB-l1d_2kB-l2_1024kB,59977962
UF_2-l1i_64kB-l1d_4kB-l2_128kB,59893222
UF_2-l1i_64kB-l1d_4kB-l2_256kB,59880003
UF_2-l1i_64kB-l1d_4kB-l2_512kB,59847213
UF_2-l1i_64kB-l1d_4kB-l2_1024kB,59832335
UF_2-l1i_64kB-l1d_8kB-l2_128kB,59804326
UF_2-l1i_64kB-l1d_8kB-l2_256kB,59780967
UF_2-l1i_64kB-l1d_8kB-l2_512kB,59763850
UF_2-l1i_64kB-l1d_8kB-l2_1024kB,59769938
UF_2-l1i_64kB-l1d_16kB-l2_128kB,42844178
UF_2-l1i_64kB-l1d_16kB-l2_256kB,42889436
UF_2-l1i_64kB-l1d_16kB-l2_512kB,42868872
UF_2-l1i_64kB-l1d_16kB-l2_1024kB,42876879
UF_2-l1i_64kB-l1d_32kB-l2_128kB,42531742
UF_2-l1i_64kB-l1d_32kB-l2_256kB,42514278
UF_2-l1i_64kB-l1d_32kB-l2_512kB,42496809
UF_2-l1i_64kB-l1d_32kB-l2_1024kB,42517906
UF_2-l1i_64kB-l1d_64kB-l2_128kB,42701976
UF_2-l1i_64kB-l1d_64kB-l2_256kB,42513503
UF_2-l1i_64kB-l1d_64kB-l2_512kB,42499329
UF_2-l1i_64kB-l1d_64kB-l2_1024kB,42511106
UF_4-l1i_2kB-l1d_2kB-l2_128kB,59885155
UF_4-l1i_2kB-l1d_2kB-l2_256kB,59856695
UF_4-l1i_2kB-l1d_2kB-l2_512kB,59839387
UF_4-l1i_2kB-l1d_2kB-l2_1024kB,59858930
UF_4-l1i_2kB-l1d_4kB-l2_128kB,59784371
UF_4-l1i_2kB-l1d_4kB-l2_256kB,59761012
UF_4-l1i_2kB-l1d_4kB-l2_512kB,59729870
UF_4-l1i_2kB-l1d_4kB-l2_1024kB,59726258
UF_4-l1i_2kB-l1d_8kB-l2_128kB,59680660
UF_4-l1i_2kB-l1d_8kB-l2_256kB,59662696
UF_4-l1i_2kB-l1d_8kB-l2_512kB,59639885
UF_4-l1i_2kB-l1d_8kB-l2_1024kB,59661292
UF_4-l1i_2kB-l1d_16kB-l2_128kB,42725606
UF_4-l1i_2kB-l1d_16kB-l2_256kB,42767743
UF_4-l1i_2kB-l1d_16kB-l2_512kB,42726198
UF_4-l1i_2kB-l1d_16kB-l2_1024kB,42719120
UF_4-l1i_2kB-l1d_32kB-l2_128kB,42379999
UF_4-l1i_2kB-l1d_32kB-l2_256kB,42383397
UF_4-l1i_2kB-l1d_32kB-l2_512kB,42347276
UF_4-l1i_2kB-l1d_32kB-l2_1024kB,42386536
UF_4-l1i_2kB-l1d_64kB-l2_128kB,42574607
UF_4-l1i_2kB-l1d_64kB-l2_256kB,42366530
UF_4-l1i_2kB-l1d_64kB-l2_512kB,42347276
UF_4-l1i_2kB-l1d_64kB-l2_1024kB,42370796
UF_4-l1i_4kB-l1d_2kB-l2_128kB,59848052
UF_4-l1i_4kB-l1d_2kB-l2_256kB,59805992
UF_4-l1i_4kB-l1d_2kB-l2_512kB,59812363
UF_4-l1i_4kB-l1d_2kB-l2_1024kB,59810081
UF_4-l1i_4kB-l1d_4kB-l2_128kB,59737329
UF_4-l1i_4kB-l1d_4kB-l2_256kB,59716210
UF_4-l1i_4kB-l1d_4kB-l2_512kB,59680936
UF_4-l1i_4kB-l1d_4kB-l2_1024kB,59679774
UF_4-l1i_4kB-l1d_8kB-l2_128kB,59637630
UF_4-l1i_4kB-l1d_8kB-l2_256kB,59610765
UF_4-l1i_4kB-l1d_8kB-l2_512kB,59589715
UF_4-l1i_4kB-l1d_8kB-l2_1024kB,59609174
UF_4-l1i_4kB-l1d_16kB-l2_128kB,42659490
UF_4-l1i_4kB-l1d_16kB-l2_256kB,42714248
UF_4-l1i_4kB-l1d_16kB-l2_512kB,42644172
UF_4-l1i_4kB-l1d_16kB-l2_1024kB,42718109
UF_4-l1i_4kB-l1d_32kB-l2_128kB,42355760
UF_4-l1i_4kB-l1d_32kB-l2_256kB,42313527
UF_4-l1i_4kB-l1d_32kB-l2_512kB,42300499
UF_4-l1i_4kB-l1d_32kB-l2_1024kB,42322607
UF_4-l1i_4kB-l1d_64kB-l2_128kB,42527404
UF_4-l1i_4kB-l1d_64kB-l2_256kB,42316071
UF_4-l1i_4kB-l1d_64kB-l2_512kB,42300499
UF_4-l1i_4kB-l1d_64kB-l2_1024kB,42322607
UF_4-l1i_8kB-l1d_2kB-l2_128kB,59833421
UF_4-l1i_8kB-l1d_2kB-l2_256kB,59800540
UF_4-l1i_8kB-l1d_2kB-l2_512kB,59796718
UF_4-l1i_8kB-l1d_2kB-l2_1024kB,59807999
UF_4-l1i_8kB-l1d_4kB-l2_128kB,59722952
UF_4-l1i_8kB-l1d_4kB-l2_256kB,59706509
UF_4-l1i_8kB-l1d_4kB-l2_512kB,59686991
UF_4-l1i_8kB-l1d_4kB-l2_1024kB,59671418
UF_4-l1i_8kB-l1d_8kB-l2_128kB,59625905
UF_4-l1i_8kB-l1d_8kB-l2_256kB,59611510
UF_4-l1i_8kB-l1d_8kB-l2_512kB,59589715
UF_4-l1i_8kB-l1d_8kB-l2_1024kB,59603818
UF_4-l1i_8kB-l1d_16kB-l2_128kB,42671033
UF_4-l1i_8kB-l1d_16kB-l2_256kB,42714176
UF_4-l1i_8kB-l1d_16kB-l2_512kB,42671392
UF_4-l1i_8kB-l1d_16kB-l2_1024kB,42694750
UF_4-l1i_8kB-l1d_32kB-l2_128kB,42342686
UF_4-l1i_8kB-l1d_32kB-l2_256kB,42305636
UF_4-l1i_8kB-l1d_32kB-l2_512kB,42315103
UF_4-l1i_8kB-l1d_32kB-l2_1024kB,42323810
UF_4-l1i_8kB-l1d_64kB-l2_128kB,42504175
UF_4-l1i_8kB-l1d_64kB-l2_256kB,42311696
UF_4-l1i_8kB-l1d_64kB-l2_512kB,42292793
UF_4-l1i_8kB-l1d_64kB-l2_1024kB,42307139
UF_4-l1i_16kB-l1d_2kB-l2_128kB,59816810
UF_4-l1i_16kB-l1d_2kB-l2_256kB,59786385
UF_4-l1i_16kB-l1d_2kB-l2_512kB,59779907
UF_4-l1i_16kB-l1d_2kB-l2_1024kB,59798177
UF_4-l1i_16kB-l1d_4kB-l2_128kB,59710658
UF_4-l1i_16kB-l1d_4kB-l2_256kB,59693727
UF_4-l1i_16kB-l1d_4kB-l2_512kB,59670323
UF_4-l1i_16kB-l1d_4kB-l2_1024kB,59655749
UF_4-l1i_16kB-l1d_8kB-l2_128kB,59617934
UF_4-l1i_16kB-l1d_8kB-l2_256kB,59598286
UF_4-l1i_16kB-l1d_8kB-l2_512kB,59569737
UF_4-l1i_16kB-l1d_8kB-l2_1024kB,59590806
UF_4-l1i_16kB-l1d_16kB-l2_128kB,42691528
UF_4-l1i_16kB-l1d_16kB-l2_256kB,42698349
UF_4-l1i_16kB-l1d_16kB-l2_512kB,42671695
UF_4-l1i_16kB-l1d_16kB-l2_1024kB,42657598
UF_4-l1i_16kB-l1d_32kB-l2_128kB,42313224
UF_4-l1i_16kB-l1d_32kB-l2_256kB,42299020
UF_4-l1i_16kB-l1d_32kB-l2_512kB,42275626
UF_4-l1i_16kB-l1d_32kB-l2_1024kB,42309773
UF_4-l1i_16kB-l1d_64kB-l2_128kB,42505716
UF_4-l1i_16kB-l1d_64kB-l2_256kB,42288043
UF_4-l1i_16kB-l1d_64kB-l2_512kB,42275626
UF_4-l1i_16kB-l1d_64kB-l2_1024kB,42297652
UF_4-l1i_32kB-l1d_2kB-l2_128kB,59801238
UF_4-l1i_32kB-l1d_2kB-l2_256kB,59805563
UF_4-l1i_32kB-l1d_2kB-l2_512kB,59780240
UF_4-l1i_32kB-l1d_2kB-l2_1024kB,59786785
UF_4-l1i_32kB-l1d_4kB-l2_128kB,59705340
UF_4-l1i_32kB-l1d_4kB-l2_256kB,59689760
UF_4-l1i_32kB-l1d_4kB-l2_512kB,59662644
UF_4-l1i_32kB-l1d_4kB-l2_1024kB,59647426
UF_4-l1i_32kB-l1d_8kB-l2_128kB,59614823
UF_4-l1i_32kB-l1d_8kB-l2_256kB,59583556
UF_4-l1i_32kB-l1d_8kB-l2_512kB,59572971
UF_4-l1i_32kB-l1d_8kB-l2_1024kB,59584686
UF_4-l1i_32kB-l1d_16kB-l2_128kB,42685939
UF_4-l1i_32kB-l1d_16kB-l2_256kB,42621401
UF_4-l1i_32kB-l1d_16kB-l2_512kB,42619489
UF_4-l1i_32kB-l1d_16kB-l2_1024kB,42692751
UF_4-l1i_32kB-l1d_32kB-l2_128kB,42312233
UF_4-l1i_32kB-l1d_32kB-l2_256kB,42291570
UF_4-l1i_32kB-l1d_32kB-l2_512kB,42290585
UF_4-l1i_32kB-l1d_32kB-l2_1024kB,42313649
UF_4-l1i_32kB-l1d_64kB-l2_128kB,42499987
UF_4-l1i_32kB-l1d_64kB-l2_256kB,42287139
UF_4-l1i_32kB-l1d_64kB-l2_512kB,42266810
UF_4-l1i_32kB-l1d_64kB-l2_1024kB,42299478
UF_4-l1i_64kB-l1d_2kB-l2_128kB,59817118
UF_4-l1i_64kB-l1d_2kB-l2_256kB,59780950
UF_4-l1i_64kB-l1d_2kB-l2_512kB,59779378
UF_4-l1i_64kB-l1d_2kB-l2_1024kB,59793759
UF_4-l1i_64kB-l1d_4kB-l2_128kB,59704435
UF_4-l1i_64kB-l1d_4kB-l2_256kB,59688744
UF_4-l1i_64kB-l1d_4kB-l2_512kB,59661940
UF_4-l1i_64kB-l1d_4kB-l2_1024kB,59646806
UF_4-l1i_64kB-l1d_8kB-l2_128kB,59612108
UF_4-l1i_64kB-l1d_8kB-l2_256kB,59595356
