Software Results;Hardware Results
-0.999999;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-0.999999;-1.000000
-1.000000;-1.000000
-0.999784;-1.000000
-0.999329;-0.937500
-0.990726;-1.000000
-0.998166;-1.000000
-0.998286;-1.000000
-0.999154;-1.000000
-0.999999;-1.000000
-0.999997;-1.000000
-0.999990;-1.000000
-0.999993;-1.000000
-0.993142;-1.000000
-0.571639;-1.000000
0.987589;1.000000
0.858105;1.000000
0.013265;0.562500
-0.984212;-1.000000
-0.999991;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-0.999998;-1.000000
-0.999999;-1.000000
-0.999585;-0.687500
-1.000000;-1.000000
-0.999867;-1.000000
-0.998060;-1.000000
-0.999961;-1.000000
-0.999986;-1.000000
-0.999918;-1.000000
-0.999999;-1.000000
-0.999999;-1.000000
-1.000000;-1.000000
-0.999975;-1.000000
-0.803249;-1.000000
0.993305;0.937500
0.980972;1.000000
0.250409;0.437500
-0.990391;-1.000000
-0.999998;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-0.999999;-1.000000
-1.000000;-1.000000
-0.999999;-1.000000
-1.000000;-1.000000
-0.999998;-1.000000
-0.999987;-1.000000
-0.999999;-1.000000
-0.999980;-1.000000
-0.999991;-1.000000
-0.999991;-1.000000
-0.999996;-1.000000
-0.999994;-1.000000
-0.998024;-1.000000
0.153894;-0.625000
0.995824;1.000000
0.908664;1.000000
-0.887250;0.000000
-0.999870;-1.000000
-0.999999;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-0.999999;-1.000000
-1.000000;-1.000000
0.431739;-0.750000
-0.999998;-1.000000
-0.999972;-1.000000
-0.999999;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-0.999997;-1.000000
-0.999990;-1.000000
-0.999945;-1.000000
-0.999886;-1.000000
-0.999985;-1.000000
-0.999989;-1.000000
-0.998142;-1.000000
-0.613498;-0.875000
0.817150;0.812500
0.878297;1.000000
-0.961872;0.250000
-0.999900;-1.000000
-0.999998;-1.000000
-1.000000;-1.000000
-0.999998;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-0.999998;-1.000000
-1.000000;-1.000000
-0.999995;-1.000000
-0.999998;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-0.999982;-1.000000
-0.999931;-1.000000
-0.999995;-1.000000
-0.999986;-1.000000
-0.827417;-0.875000
0.178462;-0.062500
0.556536;0.812500
-0.656501;0.250000
-0.999959;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-0.999998;-1.000000
-1.000000;-1.000000
-0.999914;-1.000000
-0.999998;-1.000000
-0.999999;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-0.999971;-1.000000
-0.965255;-1.000000
0.838500;0.500000
0.683010;0.812500
0.866107;1.000000
-0.978690;-0.437500
-0.999959;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-0.999998;-1.000000
-0.999551;-1.000000
0.929645;-1.000000
0.987273;0.875000
0.605845;1.000000
-0.824211;0.875000
-0.999991;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-0.999998;-1.000000
-0.999974;-1.000000
-0.999999;-1.000000
-1.000000;-1.000000
-0.999997;-1.000000
-0.999523;-1.000000
0.331458;-1.000000
0.980266;-0.562500
0.972754;1.000000
-0.870045;1.000000
-0.999932;-0.312500
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
